data_time_start
2009-01-15 10:16:39
2009-01-15 14:39:11
2009-01-15 16:47:35
2009-03-01 12:33:41
2009-03-01 14:13:35
2009-10-01 10:16:49
2009-10-01 13:49:29
2010-06-16 11:28:43
2010-06-16 12:02:24
2010-07-31 18:09:47
2011-03-05 10:53:53
2011-04-03 13:44:54
2011-05-08 10:17:25
2011-05-08 10:48:01
2011-07-27 16:10:40
2011-07-27 16:38:51
2011-09-10 14:18:36
2011-09-10 15:53:28
2011-09-10 16:31:52
2011-09-13 13:21:59
2011-09-19 17:49:56
2011-09-19 18:25:41
2012-04-12 08:18:41
2012-04-21 09:02:55
2012-08-06 16:42:39
2012-08-07 07:32:05
2012-09-22 08:16:02
2012-10-27 12:03:31
2012-11-17 11:43:22
2012-12-06 07:32:02
2012-12-06 11:39:58
2012-12-06 11:56:38
2013-01-12 07:35:53
2013-01-27 14:54:44
2013-02-20 08:55:16
2013-02-20 10:12:07
2013-03-10 09:07:46
2013-03-10 09:46:39
2013-04-21 08:22:21
2013-04-21 08:49:54
2013-05-12 07:22:14
2013-05-12 07:57:47
2013-07-08 08:37:00
2013-07-08 09:21:47
2013-07-08 09:50:22
2013-07-08 10:44:08
2013-07-08 13:32:51
2013-09-13 09:19:54
2013-09-15 08:47:00
2014-01-20 13:00:56
2014-01-20 13:26:37
2014-01-20 14:24:28
2014-02-01 07:44:47
2014-02-09 11:10:49
2014-02-09 13:53:30
2014-02-15 09:56:50
2014-02-23 09:12:21
2014-02-23 10:55:22
2014-02-23 11:41:47
2014-02-23 14:41:02
2014-03-22 11:55:49
2014-03-22 12:46:49
2014-03-23 10:08:02
2014-03-23 10:59:17
2014-03-23 11:12:25
2014-04-28 14:48:01
2014-04-28 15:30:25
2014-04-28 18:02:46
2014-07-08 06:50:01
2014-08-04 09:31:21
2014-08-09 19:35:21
2014-08-09 21:54:18
2014-12-15 09:30:20
2015-03-01 11:32:52
2015-03-01 12:03:42
2015-03-08 14:07:39
2015-03-29 09:38:44
2015-03-29 10:21:39
2015-03-29 11:35:16
2015-05-08 10:50:16
2015-06-24 08:56:21
2015-09-18 06:53:56
2015-09-18 08:46:36
2015-10-09 06:56:24
2015-10-09 09:29:55
2015-11-14 09:37:57
2015-11-14 10:49:07
2015-11-14 11:17:51
2015-12-23 10:06:05
2015-12-23 14:05:46
2016-01-08 08:59:23
2016-01-22 11:10:23
2016-01-22 12:06:58
2016-02-10 08:50:44
2016-02-10 09:00:51
2016-02-10 09:46:07
2016-02-10 09:50:11
2016-02-10 12:26:40
2016-02-10 12:26:41
2016-03-24 07:26:49
